ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
9,1,0.16752910614013672,172,OPTIMAL,6.571249967289877,rwlav,100.0,linIVR,100.0
9,1,0.39780092239379883,172,LOCALLY_SOLVED,1.2774481830251745,rwlav,100.0,rIVR,100.0
9,2,0.009701967239379883,25,OPTIMAL,1.7253191388532234,rwlav,100.0,linIVR,100.0
9,2,0.06922483444213867,25,LOCALLY_SOLVED,0.33120030105830395,rwlav,100.0,rIVR,100.0
9,3,0.008785009384155273,24,OPTIMAL,1.6472208320994095,rwlav,100.0,linIVR,100.0
9,3,0.06804585456848145,24,LOCALLY_SOLVED,0.3164214190980558,rwlav,100.0,rIVR,100.0
9,4,0.009012937545776367,25,OPTIMAL,1.7251996726553989,rwlav,100.0,linIVR,100.0
9,4,0.06898212432861328,25,LOCALLY_SOLVED,0.3311962616635616,rwlav,100.0,rIVR,100.0
9,5,0.41319990158081055,252,OPTIMAL,9.105207942570814,rwlav,100.0,linIVR,100.0
9,5,0.6142458915710449,252,LOCALLY_SOLVED,1.8520560616865982,rwlav,100.0,rIVR,100.0
9,6,0.009356975555419922,27,OPTIMAL,1.8030285563672805,rwlav,100.0,linIVR,100.0
9,6,0.07115888595581055,27,LOCALLY_SOLVED,0.34598240167579836,rwlav,100.0,rIVR,100.0
10,1,0.012171030044555664,30,OPTIMAL,1.7259332776922351,rwlav,100.0,linIVR,100.0
10,1,0.07607197761535645,30,LOCALLY_SOLVED,0.33130952368039374,rwlav,100.0,rIVR,100.0
10,2,0.0036079883575439453,16,OPTIMAL,0.5161272240967808,rwlav,100.0,linIVR,100.0
10,2,0.040229082107543945,16,LOCALLY_SOLVED,0.13494721202985266,rwlav,100.0,rIVR,100.0
10,3,0.012315034866333008,46,OPTIMAL,1.2513700554469245,rwlav,100.0,linIVR,100.0
10,3,0.11352205276489258,46,LOCALLY_SOLVED,0.24280327795943638,rwlav,100.0,rIVR,100.0
10,4,0.005320072174072266,23,OPTIMAL,0.6707752967497338,rwlav,100.0,linIVR,100.0
10,4,0.06013917922973633,23,LOCALLY_SOLVED,0.1633000298027218,rwlav,100.0,rIVR,100.0
10,5,0.00662684440612793,24,OPTIMAL,0.9533653539723146,rwlav,100.0,linIVR,100.0
10,5,0.05472898483276367,24,LOCALLY_SOLVED,0.19329302684090993,rwlav,100.0,rIVR,100.0
10,6,0.0038590431213378906,19,OPTIMAL,0.5435489838669301,rwlav,100.0,linIVR,100.0
10,6,0.04352903366088867,19,LOCALLY_SOLVED,0.163332310723948,rwlav,100.0,rIVR,100.0
11,1,0.01986098289489746,42,OPTIMAL,2.492526223732131,rwlav,100.0,linIVR,100.0
11,1,0.08435797691345215,42,LOCALLY_SOLVED,0.4792027270813881,rwlav,100.0,rIVR,100.0
11,2,0.002373933792114258,10,OPTIMAL,0.38800946087884114,rwlav,100.0,linIVR,100.0
11,2,0.024784088134765625,10,LOCALLY_SOLVED,0.1342316896259728,rwlav,100.0,rIVR,100.0
11,3,0.028385162353515625,65,OPTIMAL,2.60920657339194,rwlav,100.0,linIVR,100.0
11,3,0.17160797119140625,65,LOCALLY_SOLVED,0.509359084660433,rwlav,100.0,rIVR,100.0
11,4,0.0827341079711914,114,OPTIMAL,4.775787371689436,rwlav,100.0,linIVR,100.0
11,4,0.3443150520324707,114,LOCALLY_SOLVED,0.9212282814659613,rwlav,100.0,rIVR,100.0
11,5,0.14877986907958984,157,OPTIMAL,6.320262889259208,rwlav,100.0,linIVR,100.0
11,5,0.5596678256988525,157,LOCALLY_SOLVED,1.2886573203006082,rwlav,100.0,rIVR,100.0
12,1,0.5316259860992432,247,OPTIMAL,9.648147326499094,rwlav,100.0,linIVR,100.0
12,1,1.1169040203094482,247,LOCALLY_SOLVED,2.327230256235906,rwlav,100.0,rIVR,100.0
12,2,0.18097805976867676,167,OPTIMAL,6.318039312559549,rwlav,100.0,linIVR,100.0
12,2,0.632551908493042,167,LOCALLY_SOLVED,1.2472162926312271,rwlav,100.0,rIVR,100.0
12,3,0.21906113624572754,153,OPTIMAL,6.80046221489983,rwlav,100.0,linIVR,100.0
12,3,0.5287158489227295,153,LOCALLY_SOLVED,1.1413556876856914,rwlav,100.0,rIVR,100.0
13,1,0.052082061767578125,89,OPTIMAL,3.5653663805812252,rwlav,100.0,linIVR,100.0
13,1,0.31215786933898926,89,LOCALLY_SOLVED,0.7023512101651386,rwlav,100.0,rIVR,100.0
13,2,0.04409193992614746,82,OPTIMAL,2.953177098560452,rwlav,100.0,linIVR,100.0
13,2,0.272691011428833,82,LOCALLY_SOLVED,0.5679226083651961,rwlav,100.0,rIVR,100.0
13,3,0.0020580291748046875,10,OPTIMAL,0.3388787691299348,rwlav,100.0,linIVR,100.0
13,3,0.02537393569946289,10,LOCALLY_SOLVED,0.14821744495271905,rwlav,100.0,rIVR,100.0
13,4,0.14714503288269043,182,OPTIMAL,7.062960678608446,rwlav,100.0,linIVR,100.0
13,4,1.2015931606292725,182,LOCALLY_SOLVED,110.81052814268891,rwlav,100.0,rIVR,100.0
15,1,0.15188908576965332,167,OPTIMAL,5.775486401871926,rwlav,100.0,linIVR,100.0
15,1,0.5774807929992676,167,LOCALLY_SOLVED,1.156424500890708,rwlav,100.0,rIVR,100.0
15,2,0.2245349884033203,200,OPTIMAL,8.049285095669447,rwlav,100.0,linIVR,100.0
15,2,0.8936569690704346,200,LOCALLY_SOLVED,1.6039395441180606,rwlav,100.0,rIVR,100.0
15,3,0.7671530246734619,306,OPTIMAL,10.279728952184142,rwlav,100.0,linIVR,100.0
15,3,1.2977519035339355,306,LOCALLY_SOLVED,2.5173030327908212,rwlav,100.0,rIVR,100.0
15,4,0.5038559436798096,260,OPTIMAL,9.959323688031787,rwlav,100.0,linIVR,100.0
15,4,1.2858960628509521,260,LOCALLY_SOLVED,2.0567441082966305,rwlav,100.0,rIVR,100.0
15,5,0.01925492286682129,49,OPTIMAL,1.867865668089646,rwlav,100.0,linIVR,100.0
15,5,0.13667988777160645,49,LOCALLY_SOLVED,0.3617332507860186,rwlav,100.0,rIVR,100.0
15,6,0.08094501495361328,120,OPTIMAL,5.270222448877644,rwlav,100.0,linIVR,100.0
15,6,0.40230393409729004,120,LOCALLY_SOLVED,1.0260373233780782,rwlav,100.0,rIVR,100.0
15,7,0.0519559383392334,100,OPTIMAL,4.230286191295632,rwlav,100.0,linIVR,100.0
15,7,0.4613010883331299,100,LOCALLY_SOLVED,0.8196643295274987,rwlav,100.0,rIVR,100.0
16,1,0.04130697250366211,76,OPTIMAL,3.0465533146024684,rwlav,100.0,linIVR,100.0
16,1,0.1359419822692871,76,LOCALLY_SOLVED,0.5628973513206836,rwlav,100.0,rIVR,100.0
16,2,0.13247895240783691,150,OPTIMAL,5.633903853488198,rwlav,100.0,linIVR,100.0
16,2,0.3485739231109619,150,LOCALLY_SOLVED,1.0988476555362106,rwlav,100.0,rIVR,100.0
16,3,0.11569905281066895,142,OPTIMAL,5.162999406408481,rwlav,100.0,linIVR,100.0
16,3,0.46312999725341797,142,LOCALLY_SOLVED,1.0244447338013511,rwlav,100.0,rIVR,100.0
16,4,0.09012699127197266,127,OPTIMAL,4.414897703417733,rwlav,100.0,linIVR,100.0
16,4,0.2562110424041748,127,LOCALLY_SOLVED,0.8785622122791348,rwlav,100.0,rIVR,100.0
17,1,0.7505898475646973,378,OPTIMAL,10.37766272800662,rwlav,100.0,linIVR,100.0
17,1,1.028404951095581,378,LOCALLY_SOLVED,2.794891352622064,rwlav,100.0,rIVR,100.0
17,2,0.004746198654174805,19,OPTIMAL,0.7216425968575724,rwlav,100.0,linIVR,100.0
17,2,0.03751492500305176,19,LOCALLY_SOLVED,0.14899766840690326,rwlav,100.0,rIVR,100.0
17,3,0.1272110939025879,157,OPTIMAL,5.594134568827163,rwlav,100.0,linIVR,100.0
17,3,0.3400890827178955,157,LOCALLY_SOLVED,1.1735798549560301,rwlav,100.0,rIVR,100.0
17,4,0.23710083961486816,215,OPTIMAL,7.4087037440874886,rwlav,100.0,linIVR,100.0
17,4,0.5792660713195801,215,LOCALLY_SOLVED,1.587062616874184,rwlav,100.0,rIVR,100.0
17,5,0.5639989376068115,316,OPTIMAL,11.555065411313981,rwlav,100.0,linIVR,100.0
17,5,1.0272548198699951,316,LOCALLY_SOLVED,2.3684405491769223,rwlav,100.0,rIVR,100.0
17,6,0.31354594230651855,438,OPTIMAL,15.744278078985552,rwlav,100.0,linIVR,100.0
17,6,1.1499619483947754,438,LOCALLY_SOLVED,3.311378584984004,rwlav,100.0,rIVR,100.0
17,7,0.26331186294555664,221,OPTIMAL,5.779755553799341,rwlav,100.0,linIVR,100.0
17,7,0.4735589027404785,221,LOCALLY_SOLVED,1.8022730727321823,rwlav,100.0,rIVR,100.0
18,1,0.06578183174133301,106,OPTIMAL,4.3539108344927175,rwlav,100.0,linIVR,100.0
18,1,0.21104693412780762,106,LOCALLY_SOLVED,0.8470103950302037,rwlav,100.0,rIVR,100.0
18,2,0.02173900604248047,53,OPTIMAL,1.9543059311840414,rwlav,100.0,linIVR,100.0
18,2,0.10047101974487305,53,LOCALLY_SOLVED,0.37625867835468474,rwlav,100.0,rIVR,100.0
18,3,0.07648897171020508,110,OPTIMAL,3.915095526513537,rwlav,100.0,linIVR,100.0
18,3,0.2730400562286377,110,LOCALLY_SOLVED,0.7742043724322755,rwlav,100.0,rIVR,100.0
18,4,0.029708147048950195,74,OPTIMAL,2.7089261884892943,rwlav,100.0,linIVR,100.0
18,4,0.14009904861450195,74,LOCALLY_SOLVED,0.5243757414498421,rwlav,100.0,rIVR,100.0
18,5,0.04178786277770996,88,OPTIMAL,3.3246835056455546,rwlav,100.0,linIVR,100.0
18,5,0.16399288177490234,88,LOCALLY_SOLVED,0.641814664522323,rwlav,100.0,rIVR,100.0
18,6,0.01726698875427246,46,OPTIMAL,1.80140282556267,rwlav,100.0,linIVR,100.0
18,6,0.09407615661621094,46,LOCALLY_SOLVED,0.34710045288994595,rwlav,100.0,rIVR,100.0
18,7,0.022094011306762695,58,OPTIMAL,2.2544252281584565,rwlav,100.0,linIVR,100.0
18,7,0.15485501289367676,58,LOCALLY_SOLVED,0.43557565573007095,rwlav,100.0,rIVR,100.0
18,8,0.01638317108154297,48,OPTIMAL,1.7194644440506197,rwlav,100.0,linIVR,100.0
18,8,0.08236503601074219,48,LOCALLY_SOLVED,0.3322642554561605,rwlav,100.0,rIVR,100.0
18,9,0.06410789489746094,98,OPTIMAL,3.8778860369537314,rwlav,100.0,linIVR,100.0
18,9,0.2330918312072754,98,LOCALLY_SOLVED,0.7604347373366274,rwlav,100.0,rIVR,100.0
19,1,0.0673670768737793,111,OPTIMAL,3.899135754926381,rwlav,100.0,linIVR,100.0
19,1,0.29676198959350586,111,LOCALLY_SOLVED,0.7594658159100257,rwlav,100.0,rIVR,100.0
19,2,0.24405407905578613,214,OPTIMAL,8.215364650045863,rwlav,100.0,linIVR,100.0
19,2,0.5171651840209961,214,LOCALLY_SOLVED,1.6620614863382714,rwlav,100.0,rIVR,100.0
19,3,0.09899306297302246,138,OPTIMAL,4.909460451449487,rwlav,100.0,linIVR,100.0
19,3,0.350283145904541,138,LOCALLY_SOLVED,0.9814579209868923,rwlav,100.0,rIVR,100.0
19,4,0.05528712272644043,111,OPTIMAL,4.215990470657701,rwlav,100.0,linIVR,100.0
19,4,0.23078608512878418,111,LOCALLY_SOLVED,0.8192732822957375,rwlav,100.0,rIVR,100.0
19,5,0.11216402053833008,149,OPTIMAL,5.406613100191386,rwlav,100.0,linIVR,100.0
19,5,0.33933401107788086,149,LOCALLY_SOLVED,1.0997237418334456,rwlav,100.0,rIVR,100.0
20,1,0.01093292236328125,29,OPTIMAL,2.0371029638242355,rwlav,100.0,linIVR,100.0
20,1,0.08116793632507324,29,LOCALLY_SOLVED,0.3903813025035578,rwlav,100.0,rIVR,100.0
20,2,0.022425174713134766,56,OPTIMAL,2.1088913007909285,rwlav,100.0,linIVR,100.0
20,2,0.16666793823242188,56,LOCALLY_SOLVED,0.4061615378039824,rwlav,100.0,rIVR,100.0
20,3,0.04766702651977539,94,OPTIMAL,4.580125983169943,rwlav,100.0,linIVR,100.0
20,3,0.2925291061401367,94,LOCALLY_SOLVED,0.8920133090510819,rwlav,100.0,rIVR,100.0
20,4,0.012119054794311523,32,OPTIMAL,2.3479905740646996,rwlav,100.0,linIVR,100.0
20,4,0.08928990364074707,32,LOCALLY_SOLVED,0.44949415051766267,rwlav,100.0,rIVR,100.0
20,5,0.009877204895019531,26,OPTIMAL,1.8821203006007738,rwlav,100.0,linIVR,100.0
20,5,0.07222104072570801,26,LOCALLY_SOLVED,0.3608009493235644,rwlav,100.0,rIVR,100.0
21,1,0.01853799819946289,51,OPTIMAL,1.7881650278709542,rwlav,100.0,linIVR,100.0
21,1,0.09836411476135254,51,LOCALLY_SOLVED,0.3461919385464031,rwlav,100.0,rIVR,100.0
21,2,0.020611047744750977,50,OPTIMAL,1.8739170050825706,rwlav,100.0,linIVR,100.0
21,2,0.11712503433227539,50,LOCALLY_SOLVED,0.3610419356187867,rwlav,100.0,rIVR,100.0
