ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,pbase
17,1,0.8153510093688965,378,LOCALLY_SOLVED,0.5065960628098731,rwlav,1000.0,rIVR,0.000142004415016439,0.00014300875932016233,0.00014744895536078495,0.00010671454962989873,7.330126734451019e-5,0.0001135980064507061,1.0
17,2,0.03512907028198242,19,LOCALLY_SOLVED,0.035592185987347195,rwlav,1000.0,rIVR,0.0008984426072440321,0.00010225786975204265,2.2355949820695997e-5,0.0008940341925085526,0.00010113619427207086,2.0748851470438274e-5,1.0
17,3,0.3167431354522705,157,LOCALLY_SOLVED,0.22463147958709193,rwlav,1000.0,rIVR,0.0004495092851679594,0.00022068184423851278,0.00012928505063158902,0.00044066212881777316,0.00020289907254198393,0.00011765789355446569,1.0
17,4,0.4179978370666504,215,LOCALLY_SOLVED,0.29759212988866507,rwlav,1000.0,rIVR,0.00030360508663296315,0.00011842954897001157,0.00021099738674612567,0.00029297571022360677,0.00010180269057405343,0.00019339690067996776,1.0
17,5,0.6193020343780518,316,LOCALLY_SOLVED,0.4239612060311141,rwlav,1000.0,rIVR,0.00017841641412852383,9.146343613974928e-5,0.00017776831246241187,0.00014137138259137755,2.9038329433420283e-5,0.00014644686005176166,1.0
17,6,0.7692439556121826,438,LOCALLY_SOLVED,0.6017649284718424,rwlav,1000.0,rIVR,4.3394934600593515e-5,0.00011379458864424485,0.00011231823568325083,1.7492889589553952e-5,7.249920230290182e-5,6.365525583676436e-5,1.0
17,7,0.453294038772583,221,LOCALLY_SOLVED,0.3294356161077804,rwlav,1000.0,rIVR,0.0003034602153861865,0.00016578302267289402,0.00024043267694096038,0.00028180314155891017,0.00011828050570375289,0.00018051741483159813,1.0
18,1,0.22652602195739746,106,LOCALLY_SOLVED,0.1584743372390124,rwlav,1000.0,rIVR,0.0004935192928572363,0.0002518050878554945,0.0002617950103691591,0.000477036445886533,0.00024801962562583075,0.0002552679095389717,1.0
18,2,0.09528708457946777,53,LOCALLY_SOLVED,0.07664138189813204,rwlav,1000.0,rIVR,0.0008902206256209411,0.00035896420263870077,0.00036287134694568124,0.0008881901214030275,0.0003524861443807242,0.00035984876665258643,1.0
18,3,0.20667314529418945,110,LOCALLY_SOLVED,0.15716670447942513,rwlav,1000.0,rIVR,0.0006602558442703188,0.00028477194362652725,0.0002690370279445631,0.0006041154703062283,0.00024452437564011144,0.0002536462570447898,1.0
18,4,0.15714001655578613,74,LOCALLY_SOLVED,0.09999241489090645,rwlav,1000.0,rIVR,0.00048057258861966545,0.00045222066390426807,0.00011964592596958035,0.0004648746286538492,0.0004328194203570302,0.00011174142965418164,1.0
18,5,0.18318581581115723,88,LOCALLY_SOLVED,0.12239947592399959,rwlav,1000.0,rIVR,0.0004871825639574112,0.00026579440593432757,0.00026904811672978646,0.00048377604276718264,0.0002566913149518785,0.0002587735001822971,1.0
