ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,0.5889999866485596,118,LOCALLY_SOLVED,54.694229101687945,rwlav,100.0,rIVR,mumps,1.0e-5,0.01003068823040798,0.0033453160760578194,140
1,1,0.6189999580383301,118,LOCALLY_SOLVED,50.22431902565599,rwlav,100.0,rIVR,mumps,1.0e-5,0.041538003709098215,0.003948775550123904,138
1,1,0.5160000324249268,118,LOCALLY_SOLVED,48.79790327601858,rwlav,100.0,rIVR,mumps,1.0e-5,0.046007488864654444,0.00399176148213508,136
1,1,0.9699997901916504,118,LOCALLY_SOLVED,46.110551267770134,rwlav,100.0,rIVR,mumps,1.0e-5,0.05374692425502281,0.004006504005137668,134
1,1,0.8919999599456787,118,LOCALLY_SOLVED,42.613309013804376,rwlav,100.0,rIVR,mumps,1.0e-5,0.05424514797585123,0.004211358420792028,132
1,1,0.8550000190734863,118,LOCALLY_SOLVED,40.143486471953054,rwlav,100.0,rIVR,mumps,1.0e-5,0.05604488539764785,0.004247602571083421,130
1,1,0.5789999961853027,118,LOCALLY_SOLVED,39.0784883859703,rwlav,100.0,rIVR,mumps,1.0e-5,0.056341090751046874,0.004223653389587599,128
1,1,0.6449999809265137,118,LOCALLY_SOLVED,93.26411183503231,rwlav,100.0,rIVR,mumps,1.0e-5,0.004091853413461299,0.003295359169655358,166
1,1,0.8259999752044678,118,LOCALLY_SOLVED,90.4492951450343,rwlav,100.0,rIVR,mumps,1.0e-5,0.004102340635071755,0.0032942702144712734,164
1,1,0.8369998931884766,118,LOCALLY_SOLVED,84.50589121529192,rwlav,100.0,rIVR,mumps,1.0e-5,0.0041450911150289205,0.0032944555281564187,162
1,1,0.7349998950958252,118,LOCALLY_SOLVED,84.47387834859194,rwlav,100.0,rIVR,mumps,1.0e-5,0.004138424567269983,0.0032884218844537612,160
1,1,0.7079999446868896,118,LOCALLY_SOLVED,77.1456626567147,rwlav,100.0,rIVR,mumps,1.0e-5,0.004244187624797169,0.0032908692609893045,158
1,1,0.7179999351501465,118,LOCALLY_SOLVED,75.8978698766125,rwlav,100.0,rIVR,mumps,1.0e-5,0.004566541605010022,0.003260785497959632,156
1,1,0.5929999351501465,118,LOCALLY_SOLVED,73.59926643897236,rwlav,100.0,rIVR,mumps,1.0e-5,0.004990773167060425,0.0032791419503951525,154
1,1,0.7000000476837158,118,LOCALLY_SOLVED,72.29122792685223,rwlav,100.0,rIVR,mumps,1.0e-5,0.007190243254437956,0.0032986846496828827,152
1,1,0.5820000171661377,118,LOCALLY_SOLVED,68.41899532576863,rwlav,100.0,rIVR,mumps,1.0e-5,0.00713378647908014,0.0032812246561970794,150
1,1,0.6540000438690186,118,LOCALLY_SOLVED,65.030511594139,rwlav,100.0,rIVR,mumps,1.0e-5,0.012912863887081905,0.003292175352600997,148
