ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
7,3,0.22867393493652344,107,LOCALLY_SOLVED,86.01672874116859,rwlav,1000.0,rIVR,ma27,1.0e-5
7,4,0.6298539638519287,358,OPTIMAL,336.85261960884276,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,4,1.0028691291809082,358,LOCALLY_SOLVED,287.16412635257956,rwlav,1000.0,rIVR,ma27,1.0e-5
7,5,0.14445805549621582,127,OPTIMAL,154.56201112480616,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,5,0.3108859062194824,127,LOCALLY_SOLVED,102.49817761319217,rwlav,1000.0,rIVR,ma27,1.0e-5
7,6,0.017673015594482422,29,OPTIMAL,62.16921132460015,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,6,0.09154891967773438,29,LOCALLY_SOLVED,45.90223111350562,rwlav,1000.0,rIVR,ma27,1.0e-5
7,7,0.025049924850463867,39,OPTIMAL,63.54429448687123,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,7,0.07671594619750977,39,LOCALLY_SOLVED,44.412252379681604,rwlav,1000.0,rIVR,ma27,1.0e-5
9,1,0.3479280471801758,172,OPTIMAL,160.86017737900724,rwlav,1000.0,rIVR,gurobi,1.0e-5
9,1,0.5082900524139404,172,LOCALLY_SOLVED,137.6248617287491,rwlav,1000.0,rIVR,ma27,1.0e-5
9,2,0.015207052230834961,25,OPTIMAL,55.82230884755601,rwlav,1000.0,rIVR,gurobi,1.0e-5
9,2,0.06410598754882812,25,LOCALLY_SOLVED,42.930494156543936,rwlav,1000.0,rIVR,ma27,1.0e-5
9,3,0.011837005615234375,24,OPTIMAL,53.92180501337703,rwlav,1000.0,rIVR,gurobi,1.0e-5
9,3,0.0645599365234375,24,LOCALLY_SOLVED,41.450783693664384,rwlav,1000.0,rIVR,ma27,1.0e-5
9,4,0.01170802116394043,25,OPTIMAL,55.323605039475076,rwlav,1000.0,rIVR,gurobi,1.0e-5
9,4,0.07342290878295898,25,LOCALLY_SOLVED,42.9303168855293,rwlav,1000.0,rIVR,ma27,1.0e-5
9,5,0.6041829586029053,252,OPTIMAL,211.53708535447174,rwlav,1000.0,rIVR,gurobi,1.0e-5
